사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019100700100361,2019년 10월 7일 14시,월요일,서울특별시 동대문구 답십리동,부상신고사고,0,0,0,1,차대차 - 기타,중앙선침범,포장 - 젖음/습기,비,단일로 - 기타,자전거,남,54세,부상신고,승용,남,68세,상해없음
2019100700100708,2019년 10월 7일 23시,월요일,서울특별시 서대문구 북가좌동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,기타 - 기타,자전거,기타불명,미분류,기타불명,보행자,남,49세,경상
2019100800100211,2019년 10월 8일 10시,화요일,서울특별시 노원구 하계동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,여,70세,경상,승용,남,47세,상해없음
2019100800100352,2019년 10월 8일 14시,화요일,서울특별시 영등포구 양평동1가,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,69세,상해없음,보행자,여,63세,경상
2019100800100675,2019년 10월 8일 20시,화요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 기타,맑음,교차로 - 교차로안,자전거,남,40세,경상,승용,남,55세,상해없음
2019100900100120,2019년 10월 9일 07시,수요일,서울특별시 노원구 하계동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,70세,중상,화물,남,58세,상해없음
2019100900100162,2019년 10월 9일 09시,수요일,서울특별시 서대문구 연희동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,여,25세,부상신고,승용,남,44세,상해없음
2019100900100249,2019년 10월 9일 12시,수요일,서울특별시 노원구 공릉동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,53세,경상,승용,남,36세,상해없음
2019100900100287,2019년 10월 9일 13시,수요일,서울특별시 강동구 암사동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,61세,경상,보행자,기타불명,미분류,기타불명
2019100900100322,2019년 10월 9일 14시,수요일,서울특별시 영등포구 양평동3가,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,63세,경상,자전거,여,26세,상해없음
