사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020052000100372,2020년 5월 20일 15시,수요일,서울특별시 송파구 마천동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,77세,상해없음,자전거,남,24세,경상
2020052000100460,2020년 5월 20일 17시,수요일,서울특별시 송파구 가락동,중상사고,0,1,1,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,59세,경상,자전거,여,63세,중상
2020052000100514,2020년 5월 20일 18시,수요일,서울특별시 성동구 상왕십리동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,자전거,남,35세,경상
2020052000100566,2020년 5월 20일 19시,수요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,48세,상해없음,자전거,여,51세,중상
2020052000100648,2020년 5월 20일 22시,수요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,9세,상해없음,자전거,남,28세,중상
2020052100100079,2020년 5월 21일 08시,목요일,서울특별시 송파구 장지동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,53세,상해없음,자전거,여,31세,중상
2020052100100195,2020년 5월 21일 11시,목요일,서울특별시 강서구 가양동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,여,57세,상해없음,자전거,여,66세,경상
2020052100100303,2020년 5월 21일 14시,목요일,서울특별시 서초구 방배동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,58세,상해없음,자전거,남,6세,부상신고
2020052100100407,2020년 5월 21일 17시,목요일,서울특별시 마포구 망원동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,여,20세,상해없음,자전거,남,39세,경상
2020052100100549,2020년 5월 21일 20시,목요일,서울특별시 강남구 논현동,경상사고,0,0,1,0,차대차 - 기타,기타,포장 - 건조,기타,기타 - 기타,승용,남,38세,상해없음,자전거,여,28세,경상
2020052100100551,2020년 5월 21일 20시,목요일,서울특별시 강동구 길동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승합,남,57세,상해없음,자전거,남,59세,경상
2020052200100256,2020년 5월 22일 13시,금요일,서울특별시 마포구 연남동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,28세,상해없음,자전거,여,24세,중상
2020052200100346,2020년 5월 22일 15시,금요일,서울특별시 강동구 천호동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,57세,상해없음,자전거,여,50세,중상
2020052200100430,2020년 5월 22일 17시,금요일,서울특별시 강서구 마곡동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,자전거,여,30세,중상
