'대여일자','사용자코드','성별','연령대코드','신규가입자수'
'201711','회원-내국인','F','20대',3272
'201711','회원-내국인','M','20대',3418
'201711','회원-내국인','F','30대',1356
'201711','회원-내국인','M','30대',2185
'201711','회원-내국인','F','40대',740
'201711','회원-내국인','M','40대',1632
'201711','회원-내국인','F','50대',343
'201711','회원-내국인','M','50대',584
'201711','회원-내국인','F','60대',59
'201711','회원-내국인','M','60대',138
'201711','회원-내국인','F','70대~',32
'201711','회원-내국인','M','70대~',29
'201712','회원-내국인','F','~10대',219
'201712','회원-내국인','M','~10대',243
'201712','회원-내국인','F','20대',884
'201712','회원-내국인','M','20대',1280
'201712','회원-내국인','F','30대',342
'201712','회원-내국인','M','30대',730
'201712','회원-내국인','F','40대',213
'201712','회원-내국인','M','40대',553
'201712','회원-내국인','F','50대',112
'201712','회원-내국인','M','50대',255
'201712','회원-내국인','F','60대',12
'201712','회원-내국인','M','60대',70
'201712','회원-내국인','F','70대~',4
'201712','회원-내국인','M','70대~',11
